,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
297,Te Anau,NZ,-45.42,167.72,44.92,77,96,3.4,overcast clouds,0.0,0.0
298,Sambava,MG,-14.27,50.17,71.49,92,100,13.98,moderate rain,0.05354330708661418,0.0
299,Sao Felix Do Xingu,BR,-6.64,-51.99,70.57,74,3,1.81,clear sky,0.0,0.0
300,Punta Alta,AR,-38.88,-62.07,40.57,78,47,4.16,scattered clouds,0.0,0.0
301,Letterkenny,IE,54.95,-7.73,48.36,93,100,4.56,overcast clouds,0.0,0.0
302,Donskoye,RU,45.46,41.97,69.8,52,0,6.71,clear sky,0.0,0.0
303,Meadow Lake,US,34.8,-106.54,84.2,25,75,20.8,broken clouds,0.0,0.0
304,Mayo,US,38.89,-76.51,73.0,94,90,9.17,moderate rain,0.1421259842519685,0.0
305,Derzhavinsk,KZ,51.1,66.32,69.37,67,6,5.88,clear sky,0.0,0.0
306,Iskateley,RU,67.68,53.15,67.06,72,25,17.0,light rain,0.004724409448818898,0.0
307,Hofn,IS,64.25,-15.21,49.84,77,0,4.38,clear sky,0.0,0.0
308,Esperance,AU,-33.87,121.9,59.61,71,0,15.39,clear sky,0.0,0.0
309,Posse,BR,-14.09,-46.37,66.88,60,49,6.51,scattered clouds,0.0,0.0
310,Maragogi,BR,-9.01,-35.22,72.73,84,3,4.52,clear sky,0.0,0.0
311,Muli,MV,2.92,73.57,84.09,69,100,8.95,overcast clouds,0.0,0.0
312,Santa Isabel,BR,-23.32,-46.22,66.2,88,71,5.82,broken clouds,0.0,0.0
313,Yumen,CN,40.28,97.2,85.87,14,64,7.72,broken clouds,0.0,0.0
314,Codrington,AU,-38.27,141.97,56.21,65,89,3.22,overcast clouds,0.0,0.0
315,Merauke,ID,-8.47,140.33,81.91,74,65,13.0,light rain,0.004330708661417323,0.0
316,Grand Gaube,MU,-20.01,57.66,73.0,92,100,5.99,overcast clouds,0.0,0.0
317,Bakchar,RU,57.02,82.07,70.81,60,9,3.89,clear sky,0.0,0.0
318,Coquimbo,CL,-29.95,-71.34,51.8,93,93,2.84,overcast clouds,0.0,0.0
319,Xining,CN,36.62,101.77,73.85,34,8,1.12,clear sky,0.0,0.0
320,Neuquen,AR,-38.95,-68.06,39.2,93,75,8.05,light intensity drizzle,0.0,0.0
321,Portland,US,45.52,-122.68,66.2,59,90,10.29,overcast clouds,0.0,0.0
322,Lusambo,CD,-4.97,23.45,65.41,55,100,0.25,overcast clouds,0.0,0.0
323,Kirakira,SB,-10.45,161.92,83.98,74,31,11.01,light rain,0.02598425196850394,0.0
324,The Hague,NL,52.08,4.3,55.99,93,64,3.36,broken clouds,0.0,0.0
325,Faanui,PF,-16.48,-151.75,78.69,79,37,13.11,scattered clouds,0.0,0.0
326,Pathein,MM,16.78,94.73,86.81,70,53,5.14,light rain,0.005118110236220473,0.0
327,Vila Franca Do Campo,PT,37.72,-25.43,66.2,93,40,10.29,scattered clouds,0.0,0.0
328,Shintomi,JP,32.08,131.47,80.6,83,75,13.87,broken clouds,0.0,0.0
329,Aguimes,ES,27.91,-15.45,75.0,83,0,26.4,clear sky,0.0,0.0
330,Cockburn Town,TC,21.46,-71.14,83.43,78,0,19.48,clear sky,0.0,0.0
331,Kedougou,SN,12.56,-12.17,76.19,90,99,5.3,overcast clouds,0.0,0.0
332,Tabou,CI,4.42,-7.35,74.86,83,100,7.38,overcast clouds,0.0,0.0
333,Troitskoye,RU,52.98,84.68,68.11,81,58,5.79,broken clouds,0.0,0.0
334,Sao Joao Da Barra,BR,-21.64,-41.05,69.39,89,0,3.78,clear sky,0.0,0.0
335,Tefe,BR,-3.35,-64.71,72.79,98,45,2.86,light rain,0.02795275590551181,0.0
336,Sungai Padi,TH,6.09,101.88,84.2,74,20,4.7,few clouds,0.0,0.0
337,Nueva Guinea,NI,11.69,-84.46,72.63,96,100,4.54,overcast clouds,0.0,0.0
338,Matadi,CD,-5.82,13.45,68.92,88,20,2.04,few clouds,0.0,0.0
339,Biak,ID,-0.91,122.88,81.54,72,62,9.98,light rain,0.005905511811023622,0.0
340,Rio Grande,BR,-32.03,-52.1,50.81,79,100,9.51,overcast clouds,0.0,0.0
341,Esmeraldas,BR,-19.76,-44.31,64.4,77,0,2.24,clear sky,0.0,0.0
342,Tumpat,MY,6.2,102.17,84.2,74,20,4.7,few clouds,0.0,0.0
343,Atliaca,MX,17.65,-99.37,66.29,89,100,7.0,light rain,0.02283464566929134,0.0
344,La Ronge,CA,55.1,-105.28,69.8,46,20,8.05,few clouds,0.0,0.0
345,Samarai,PG,-10.62,150.67,77.92,82,93,18.05,light rain,0.004330708661417323,0.0
346,Narsaq,GL,60.92,-46.05,46.4,70,93,3.36,overcast clouds,0.0,0.0
347,Sioux Lookout,CA,50.1,-91.92,75.2,64,40,5.82,scattered clouds,0.0,0.0
348,Anadyr,RU,64.75,177.48,46.4,93,90,4.47,light intensity drizzle,0.0,0.0
349,Tazovskiy,RU,67.47,78.7,56.26,76,1,12.71,clear sky,0.0,0.0
350,Tartagal,AR,-22.52,-63.8,50.72,75,99,4.7,overcast clouds,0.0,0.0
351,Bara,NG,10.37,10.73,73.63,88,69,6.44,broken clouds,0.0,0.0
352,Pisco,PE,-13.7,-76.22,60.8,82,20,4.7,few clouds,0.0,0.0
353,Anchorage,US,61.22,-149.9,64.4,63,90,8.05,overcast clouds,0.0,0.0
354,Sola,VU,-13.88,167.55,79.09,83,100,23.42,light rain,0.01299212598425197,0.0
355,Rundu,NA,-17.93,19.77,41.0,56,0,2.24,clear sky,0.0,0.0
356,Ginda,IN,30.69,78.49,80.6,83,75,3.36,broken clouds,0.0,0.0
357,Olutanga,PH,7.31,122.85,83.07,73,36,3.24,scattered clouds,0.0,0.0
358,Rawson,AR,-43.3,-65.1,39.51,73,0,11.3,clear sky,0.0,0.0
359,Dudinka,RU,69.41,86.18,64.4,72,99,8.95,overcast clouds,0.0,0.0
360,Chokurdakh,RU,70.63,147.92,41.29,92,99,11.03,light rain,0.017716535433070866,0.0
361,Sarila,IN,25.77,79.68,81.19,84,100,6.78,light rain,0.01732283464566929,0.0
362,Usinsk,RU,65.99,57.53,70.45,78,73,17.69,broken clouds,0.0,0.0
363,Zonguldak,TR,41.25,31.83,65.8,77,0,3.33,clear sky,0.0,0.0
364,Ballina,AU,-28.87,153.57,66.0,64,82,5.01,light rain,0.005905511811023622,0.0
365,Skogn,NO,63.7,11.2,51.8,76,100,17.22,light rain,0.00826771653543307,0.0
366,Touros,BR,-5.2,-35.46,73.4,94,75,5.82,broken clouds,0.0,0.0
367,Katsuura,JP,35.13,140.3,84.2,79,75,27.51,light intensity shower rain,0.0,0.0
368,Lewisville,US,33.05,-96.99,81.0,69,75,8.05,broken clouds,0.0,0.0
369,Peterhead,GB,57.51,-1.8,51.8,71,32,10.29,light rain,0.007480314960629922,0.0
370,Bathsheba,BB,13.22,-59.52,80.6,83,40,19.46,shower rain,0.0,0.0
371,Winston-Salem,US,36.1,-80.24,78.8,61,1,6.93,clear sky,0.0,0.0
372,Port Keats,AU,-14.25,129.55,82.63,24,0,10.42,clear sky,0.0,0.0
373,Eydhafushi,MV,5.1,73.07,83.61,67,100,5.53,overcast clouds,0.0,0.0
374,Chuy,UY,-33.7,-53.46,45.55,85,94,5.17,overcast clouds,0.0,0.0
375,The Valley,AI,18.22,-63.06,84.2,74,40,14.99,scattered clouds,0.0,0.0
376,Cidreira,BR,-30.18,-50.21,56.55,77,100,9.17,light rain,0.014960629921259844,0.0
377,Brainerd,US,46.36,-94.2,78.8,65,1,3.15,clear sky,0.0,0.0
378,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.29,83,5,5.39,clear sky,0.0,0.0
379,Tadine,NC,-21.55,167.88,72.19,59,100,11.03,overcast clouds,0.0,0.0
380,Kumla,SE,59.13,15.14,52.0,81,46,8.05,scattered clouds,0.0,0.0
381,Guerrero Negro,MX,27.98,-114.06,70.81,73,0,14.79,clear sky,0.0,0.0
382,Rio Gallegos,AR,-51.62,-69.22,14.0,92,75,3.36,fog,0.0,0.0
383,Deputatskiy,RU,69.3,139.9,50.45,78,91,3.04,overcast clouds,0.0,0.0
384,Opotiki,NZ,-38.08,177.28,60.01,68,65,8.01,broken clouds,0.0,0.0
385,Port Augusta,AU,-32.5,137.77,55.99,58,0,4.7,clear sky,0.0,0.0
386,Havre,FR,49.58,0.33,57.2,82,75,6.93,broken clouds,0.0,0.0
387,San Quintin,MX,30.48,-115.95,68.88,73,0,10.38,clear sky,0.0,0.0
388,Iralaya,HN,15.0,-83.23,80.02,86,26,8.97,light rain,0.022047244094488192,0.0
389,Berlevag,NO,70.86,29.09,47.61,86,100,12.93,overcast clouds,0.0,0.0
390,Biloela,AU,-24.42,150.5,72.19,35,0,9.24,clear sky,0.0,0.0
391,Chicama,PE,-7.84,-79.15,62.31,83,100,6.69,overcast clouds,0.0,0.0
392,Fershampenuaz,RU,53.52,59.81,69.31,78,100,4.5,overcast clouds,0.0,0.0
393,Aksarka,RU,66.56,67.8,74.53,52,0,4.65,clear sky,0.0,0.0
394,Paamiut,GL,61.99,-49.67,41.02,92,100,18.1,moderate rain,0.06535433070866142,0.0
395,Aquin,HT,18.28,-73.4,80.37,78,39,2.21,scattered clouds,0.0,0.0
396,Hoquiam,US,46.98,-123.89,60.8,77,40,12.75,scattered clouds,0.0,0.0
397,Marawi,PH,8.0,124.29,82.99,83,72,4.0,light rain,0.013385826771653545,0.0
398,Lac-Au-Saumon,CA,48.42,-67.35,52.0,100,20,5.82,few clouds,0.0,0.0
399,Miramar,US,25.99,-80.23,82.99,83,1,5.19,clear sky,0.0,0.0
400,San Rafael,AR,-34.62,-68.33,42.24,66,89,5.75,overcast clouds,0.0,0.0
401,Lagunas,PE,-5.23,-75.68,72.91,96,97,1.32,light rain,0.007086614173228346,0.0
402,Cap Malheureux,MU,-19.98,57.61,73.0,92,100,7.0,overcast clouds,0.0,0.0
403,Wittmund,DE,53.57,7.78,53.01,76,44,5.82,scattered clouds,0.0,0.0
404,Camana,PE,-16.62,-72.71,60.58,73,14,6.42,few clouds,0.0,0.0
405,Iwaki,JP,37.05,140.88,82.0,83,100,3.0,overcast clouds,0.0,0.0
406,Adrar,MR,20.5,-10.07,88.54,34,0,11.83,clear sky,0.0,0.0
407,Abu Kamal,SY,34.45,40.92,81.48,39,0,5.37,clear sky,0.0,0.0
408,Ndele,CF,8.41,20.65,69.76,93,100,3.4,overcast clouds,0.0,0.0
409,Aboisso,CI,5.47,-3.21,75.16,90,99,3.89,overcast clouds,0.0,0.0
410,Vanimo,PG,-2.67,141.3,83.14,70,99,4.79,overcast clouds,0.0,0.0
411,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,87,1,6.93,clear sky,0.0,0.0
412,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,68.38,65,43,16.84,scattered clouds,0.0,0.0
413,Batemans Bay,AU,-35.72,150.18,62.01,52,4,3.0,clear sky,0.0,0.0
414,Urumqi,CN,43.8,87.6,71.6,56,100,13.42,overcast clouds,0.0,0.0
415,Eyl,SO,7.98,49.82,79.88,62,0,21.83,clear sky,0.0,0.0
416,Gagino,RU,55.23,45.03,71.13,87,0,4.16,clear sky,0.0,0.0
417,Goundam,ML,16.41,-3.67,92.03,32,0,10.89,clear sky,0.0,0.0
418,Sur,OM,22.57,59.53,92.26,56,74,4.61,broken clouds,0.0,0.0
419,Mandera,KE,3.94,41.87,75.56,61,92,13.58,overcast clouds,0.0,0.0
420,Wajid,SO,3.81,43.25,71.01,79,91,14.52,overcast clouds,0.0,0.0
421,Warmbad,NA,-28.45,18.73,47.71,79,99,8.97,overcast clouds,0.0,0.0
422,Okato,NZ,-39.2,173.88,55.0,65,98,14.0,light rain,0.013385826771653545,0.0
423,Shingu,JP,33.73,135.98,77.0,100,75,9.17,broken clouds,0.0,0.0
424,San Andres,CO,12.58,-81.7,82.4,83,20,9.17,few clouds,0.0,0.0
425,Sotuta,MX,20.6,-89.02,80.04,74,95,6.67,overcast clouds,0.0,0.0
426,Rivne,UA,50.62,26.23,57.99,98,79,1.01,light rain,0.01653543307086614,0.0
427,Ixtapa,MX,20.7,-105.2,86.0,79,90,6.93,overcast clouds,0.0,0.0
428,Nhulunbuy,AU,-12.23,136.77,80.6,61,75,18.34,broken clouds,0.0,0.0
429,Savannah Bight,HN,16.45,-85.85,82.62,82,94,21.18,overcast clouds,0.0,0.0
430,Bhimunipatnam,IN,17.88,83.43,86.0,74,75,9.17,mist,0.0,0.0
431,Buluang,PH,13.31,123.34,91.04,55,24,0.36,few clouds,0.0,0.0
432,Talakan,RU,50.32,130.37,61.5,92,100,7.58,light rain,0.019291338582677165,0.0
433,Komsomolskiy,UZ,40.43,71.72,75.2,29,0,1.66,clear sky,0.0,0.0
434,Beringovskiy,RU,63.05,179.32,48.96,78,100,2.82,overcast clouds,0.0,0.0
435,Egvekinot,RU,66.32,-179.17,42.44,93,99,3.44,light rain,0.006692913385826772,0.0
436,Micheweni,TZ,-4.97,39.83,76.8,81,28,15.46,scattered clouds,0.0,0.0
437,Neiafu,TO,-18.65,-173.98,80.6,78,40,11.41,scattered clouds,0.0,0.0
438,Jarvenpaa,FI,60.47,25.09,57.2,82,40,16.11,scattered clouds,0.0,0.0
439,Totness,SR,5.88,-56.32,78.33,89,99,10.11,overcast clouds,0.0,0.0
440,Baker City,US,44.77,-117.83,80.6,30,1,16.11,clear sky,0.0,0.0
441,Margate,GB,51.38,1.39,59.0,64,1,10.51,clear sky,0.0,0.0
442,Leninskoye,RU,47.94,132.62,66.54,95,100,10.13,light rain,0.03149606299212599,0.0
443,Ushtobe,KZ,45.25,77.98,78.49,34,34,6.87,scattered clouds,0.0,0.0
444,Bull Savanna,JM,17.89,-77.59,77.49,84,61,7.52,broken clouds,0.0,0.0
445,Ilo,PE,-17.64,-71.34,59.25,78,36,3.96,scattered clouds,0.0,0.0
446,Sabang,ID,5.89,95.32,83.66,67,98,0.81,light rain,0.005118110236220473,0.0
447,Pompeu,BR,-19.22,-44.94,60.82,67,0,2.82,clear sky,0.0,0.0
448,Omboue,GA,-1.57,9.26,72.43,89,85,5.77,overcast clouds,0.0,0.0
449,Wladyslawowo,PL,54.79,18.4,55.99,80,52,5.01,broken clouds,0.0,0.0
450,Hailin,CN,44.58,129.42,70.65,74,80,7.63,light rain,0.014566929133858268,0.0
451,Maniitsoq,GL,65.42,-52.9,41.2,95,100,20.11,light rain,0.03267716535433071,0.0
452,Dumas,US,35.87,-101.97,82.0,44,1,3.36,clear sky,0.0,0.0
453,Llanes,ES,43.42,-4.75,63.0,75,39,10.31,scattered clouds,0.0,0.0
454,Katherine,AU,-14.47,132.27,78.8,16,10,16.11,clear sky,0.0,0.0
455,Rapu-Rapu,PH,13.19,124.13,84.9,74,15,8.86,few clouds,0.0,0.0
456,Kagadi,UG,0.96,30.8,62.69,95,99,3.15,light rain,0.008661417322834646,0.0
457,Hasaki,JP,35.73,140.83,82.99,78,75,18.34,broken clouds,0.0,0.0
458,Vardo,NO,70.37,31.11,48.2,87,75,11.41,shower rain,0.0,0.0
459,Talnakh,RU,69.49,88.4,64.4,72,95,8.95,overcast clouds,0.0,0.0
460,Jawa,JO,31.85,35.94,66.2,63,0,6.93,clear sky,0.0,0.0
461,Sarangani,PH,5.4,125.46,83.35,75,97,14.29,moderate rain,0.04566929133858268,0.0
462,Balkhash,KZ,46.84,74.98,69.8,64,100,11.18,overcast clouds,0.0,0.0
463,Amapa,BR,1.0,-52.0,71.26,98,100,1.95,light rain,0.012204724409448819,0.0
464,San Pedro,PH,14.35,121.02,93.0,62,68,8.01,broken clouds,0.0,0.0
465,Roswell,US,34.02,-84.36,73.99,100,90,8.97,moderate rain,0.05,0.0
466,Aksu,CN,41.12,80.26,80.8,16,0,5.75,clear sky,0.0,0.0
467,Labytnangi,RU,66.66,66.42,75.36,49,49,6.11,scattered clouds,0.0,0.0
468,Fuerte Olimpo,PY,-21.04,-57.87,67.08,96,4,3.49,clear sky,0.0,0.0
469,Falmouth,GB,50.15,-5.07,55.0,93,0,9.17,clear sky,0.0,0.0
470,Mahon,ES,39.89,4.27,73.4,60,0,16.11,clear sky,0.0,0.0
471,Normandin,CA,48.83,-72.53,66.2,52,75,3.36,broken clouds,0.0,0.0
472,Mosquera,CO,4.71,-74.23,51.8,87,40,3.36,scattered clouds,0.0,0.0
473,Maltahohe,NA,-24.83,16.98,46.15,49,0,5.23,clear sky,0.0,0.0
474,Buraydah,SA,26.33,43.98,86.0,28,0,5.82,clear sky,0.0,0.0
475,Zyryanovsk,KZ,49.74,84.27,66.07,74,100,1.14,overcast clouds,0.0,0.0
476,Murray Bridge,AU,-35.12,139.27,51.01,76,92,5.17,overcast clouds,0.0,0.0
477,Atchison,US,39.56,-95.12,80.01,85,0,5.97,clear sky,0.0,0.0
478,Kaohsiung,TW,22.62,120.31,89.6,70,75,13.87,shower rain,0.0,0.0
479,Kismayo,SO,-0.36,42.55,77.31,80,75,15.21,broken clouds,0.0,0.0
480,Barra Patuca,HN,15.8,-84.28,80.06,86,37,6.15,scattered clouds,0.0,0.0
481,Pangnirtung,CA,66.15,-65.71,42.31,79,37,1.59,scattered clouds,0.0,0.0
482,Pujili,EC,-0.95,-78.68,47.12,78,64,6.15,broken clouds,0.0,0.0
483,Saint-Joseph,RE,-21.37,55.62,71.6,94,90,17.22,overcast clouds,0.0,0.0
484,Gallup,US,35.53,-108.74,89.6,7,1,10.29,clear sky,0.0,0.0
485,Bardiyah,LY,31.76,25.09,72.0,84,0,10.87,clear sky,0.0,0.0
486,Saint Anthony,US,45.02,-93.22,79.0,61,1,6.93,clear sky,0.0,0.0
487,Nouadhibou,MR,20.93,-17.03,71.6,88,0,6.93,clear sky,0.0,0.0
488,Randazzo,IT,37.88,14.95,72.0,75,5,3.24,clear sky,0.0,0.0
489,Yulara,AU,-25.24,130.99,57.2,41,0,11.41,clear sky,0.0,0.0
490,Limulunga,ZM,-15.1,23.14,45.07,56,0,4.18,clear sky,0.0,0.0
491,Novyy Urengoy,RU,66.08,76.63,70.61,55,73,7.96,broken clouds,0.0,0.0
492,Chadiza,ZM,-14.07,32.44,48.87,85,85,3.2,overcast clouds,0.0,0.0
493,Staryy Nadym,RU,65.61,72.68,73.78,52,96,6.15,overcast clouds,0.0,0.0
494,Visnes,NO,59.36,5.22,50.0,71,51,27.51,light rain,0.019291338582677165,0.0
495,Severo-Kurilsk,RU,50.68,156.12,56.62,78,19,6.42,few clouds,0.0,0.0
496,Diamantina,BR,-18.25,-43.6,53.71,88,0,3.24,clear sky,0.0,0.0
497,Mendi,PG,-6.18,143.65,65.64,86,99,3.78,moderate rain,0.042519685039370085,0.0
498,Broken Hill,AU,-31.95,141.43,50.0,61,90,10.29,overcast clouds,0.0,0.0
499,Monduli,TZ,-3.3,36.45,57.2,87,75,9.17,broken clouds,0.0,0.0
500,Rocha,UY,-34.48,-54.33,41.59,92,54,4.18,broken clouds,0.0,0.0
501,Kintampo,GH,8.06,-1.73,73.56,87,98,4.29,overcast clouds,0.0,0.0
502,Mindelo,CV,16.89,-24.98,77.0,73,75,9.17,broken clouds,0.0,0.0
503,Honiara,SB,-9.43,159.95,89.6,70,20,9.17,few clouds,0.0,0.0
504,Pemangkat,ID,1.17,108.97,77.05,86,100,11.12,light rain,0.016141732283464567,0.0
505,Xiuyan,CN,40.29,123.27,74.95,74,86,5.39,overcast clouds,0.0,0.0
506,Yatou,CN,37.15,122.38,75.04,78,31,12.12,scattered clouds,0.0,0.0
507,Beni Suef,EG,29.07,31.1,75.7,35,0,3.65,clear sky,0.0,0.0
508,Tampere,FI,61.5,23.79,55.99,93,90,9.17,light intensity shower rain,0.0,0.0
509,Atasu,KZ,48.68,71.64,70.57,52,27,4.0,scattered clouds,0.0,0.0
510,Krasnoarmeyskoye,RU,52.72,50.03,75.88,65,0,4.7,clear sky,0.0,0.0
511,Strai,NO,58.2,7.9,51.8,76,23,13.87,few clouds,0.0,0.0
512,Sainte-Maxime,FR,43.3,6.63,71.6,35,0,5.82,clear sky,0.0,0.0
513,Ahuimanu,US,21.44,-157.84,86.0,55,20,13.87,few clouds,0.0,0.0
514,Kaeo,NZ,-35.1,173.78,59.0,11,7,10.0,clear sky,0.0,0.0
515,Jalu,LY,29.03,21.55,68.86,89,0,7.81,clear sky,0.0,0.0
516,Salinopolis,BR,-0.61,-47.36,78.85,85,23,9.17,few clouds,0.0,0.0
517,Klyuchi,RU,52.27,79.17,70.7,61,94,5.93,overcast clouds,0.0,0.0
518,Anshun,CN,26.25,105.93,74.37,85,100,16.11,overcast clouds,0.0,0.0
519,Parfenyevo,RU,58.48,43.41,68.54,84,0,4.88,clear sky,0.0,0.0
520,Tecalitlan,MX,19.47,-103.3,68.97,92,100,4.14,light rain,0.010236220472440946,0.0
521,Eidsvag,NO,62.78,8.07,48.2,93,100,14.99,drizzle,0.0,0.0
522,Zhigansk,RU,66.77,123.37,49.12,73,100,9.98,overcast clouds,0.0,0.0
523,Matara,LK,5.95,80.54,81.3,80,57,11.3,light rain,0.02598425196850394,0.0
524,Kochki,RU,54.34,80.48,67.55,74,82,4.29,broken clouds,0.0,0.0
525,Marienburg,PL,54.04,19.03,53.6,87,20,13.87,few clouds,0.0,0.0
526,Stokmarknes,NO,68.56,14.91,50.0,84,100,1.99,overcast clouds,0.0,0.0
527,Santiago,CL,-33.46,-70.65,46.4,87,100,2.24,overcast clouds,0.0,0.0
528,Kalmunai,LK,7.42,81.82,84.65,63,57,3.06,broken clouds,0.0,0.0
529,Avera,US,33.19,-82.53,75.2,92,90,5.82,light rain,0.0,0.0
530,Peoria,US,40.77,-89.77,84.2,62,40,4.5,scattered clouds,0.0,0.0
531,Nevel,RU,56.02,29.93,60.37,98,100,1.79,light rain,0.03622047244094489,0.0
532,Verkhnevilyuysk,RU,63.45,120.32,68.41,43,32,2.68,scattered clouds,0.0,0.0
533,Durazno,UY,-33.41,-56.5,39.49,95,100,7.85,overcast clouds,0.0,0.0
534,Huntsville,US,34.73,-86.59,79.0,88,1,4.7,clear sky,0.0,0.0
535,Husavik,IS,66.04,-17.34,39.2,93,0,1.74,clear sky,0.0,0.0
536,Shenjiamen,CN,29.96,122.3,78.37,91,100,4.36,light rain,0.030708661417322838,0.0
537,Kurilsk,RU,45.23,147.88,63.01,76,100,4.92,overcast clouds,0.0,0.0
538,Manta,EC,-0.95,-80.73,71.74,86,86,10.54,overcast clouds,0.0,0.0
539,Khovu-Aksy,RU,51.13,93.6,55.96,89,100,5.95,moderate rain,0.07834645669291339,0.0
540,Nsanje,MW,-16.92,35.26,60.85,95,57,2.13,broken clouds,0.0,0.0
541,Porto Nacional,BR,-10.71,-48.42,73.4,69,0,5.82,clear sky,0.0,0.0
542,Kanniyakumari,IN,8.08,77.57,82.15,73,26,18.66,scattered clouds,0.0,0.0
543,Mouzouras,GR,35.53,24.15,73.4,94,40,6.93,scattered clouds,0.0,0.0
544,Rockland,US,41.17,-74.05,72.0,88,100,5.37,overcast clouds,0.0,0.0
545,Miri,MY,4.41,114.01,86.0,84,40,5.82,scattered clouds,0.0,0.0
546,Gornopravdinsk,RU,60.05,69.9,73.45,66,0,1.61,clear sky,0.0,0.0
547,Bonavista,CA,48.65,-53.11,50.0,87,88,1.01,overcast clouds,0.0,0.0
548,Tromso,NO,69.65,18.96,46.4,93,75,17.22,broken clouds,0.0,0.0
549,Nabire,ID,-3.37,135.48,85.62,60,100,3.78,overcast clouds,0.0,0.0
550,Batticaloa,LK,7.71,81.69,83.82,64,68,3.8,broken clouds,0.0,0.0
551,Okitipupa,NG,6.5,4.78,74.12,97,100,3.22,overcast clouds,0.0,0.0
552,Siruguppa,IN,15.63,76.9,81.12,68,100,17.49,overcast clouds,0.0,0.0
553,Poronaysk,RU,49.22,143.12,64.87,76,5,13.58,clear sky,0.0,0.0
554,Ati,TD,13.22,18.34,81.72,55,66,12.01,broken clouds,0.0,0.0
555,Puerto Carreno,CO,6.19,-67.49,75.34,88,100,8.63,light rain,0.005511811023622048,0.0
556,Vostok,RU,46.49,135.88,78.08,43,65,5.39,broken clouds,0.0,0.0
557,Wilmington,US,34.23,-77.94,79.0,74,1,3.36,clear sky,0.0,0.0
558,Puerto Escondido,MX,15.85,-97.07,82.38,75,100,11.83,light rain,0.020472440944881893,0.0
559,Ust-Kuyga,RU,70.02,135.6,48.67,80,100,5.77,light rain,0.005511811023622048,0.0
560,Kalianget,ID,-7.05,113.93,83.71,72,18,15.88,few clouds,0.0,0.0
561,Ossora,RU,59.24,163.07,56.39,77,23,5.48,few clouds,0.0,0.0
562,Constantine,DZ,36.37,6.61,60.8,77,20,2.82,few clouds,0.0,0.0
563,Bellevue,US,47.61,-122.2,69.01,52,1,8.05,clear sky,0.0,0.0
564,Westport,US,41.14,-73.36,71.01,89,100,10.49,overcast clouds,0.0,0.0
565,Piney Green,US,34.72,-77.32,79.0,83,20,4.38,few clouds,0.0,0.0
566,Acolla,PE,-11.73,-75.55,47.3,74,99,1.81,overcast clouds,0.0,0.0
567,De Aar,ZA,-30.65,24.01,43.27,52,11,6.53,few clouds,0.0,0.0
